f,time_iter,beta,alpha,norm_g,ls_conv,ls_it,ls_time,zoom_used,zoom_conv,zoom_it
0.24999976215715983,0.014677047729492188,0.0,5.566274812341263,0.00027196969334937796,y,3,0.00432896614074707,y,y,0
0.15817693826581206,0.025336027145385742,0.42409346731502234,34270.22720446321,0.00017711332688074075,y,16,0.02373790740966797,y,y,1
0.1581744623702153,0.004667043685913086,59302.07818817406,0.002936841863618843,0.04315330431633113,y,0,0.0039501190185546875,y,y,6
0.15405461580420618,0.0020170211791992188,-0.0033744890419960343,4.0,0.04300540157407618,y,2,0.001338958740234375,n,-,0
0.14404242306153753,0.006249189376831055,0.2295849535119642,32.0,0.02472795975305575,y,5,0.005438089370727539,n,-,0
0.14288497393751276,0.004778146743774414,1.0651119643272557,4.968643930891593,0.02274607848932816,y,3,0.0031042098999023438,y,y,0
0.13568929802124047,0.008203744888305664,0.5161887667132582,47.65884420524815,0.017803214791464253,y,6,0.007426023483276367,y,y,0
0.1334689957813752,0.005869865417480469,2.514083879793722,7.116044620000093,0.0259671783384798,y,3,0.0047190189361572266,y,y,0
0.12909268219326098,0.006162881851196289,0.5563843751410503,24.614069368182804,0.018729322902935254,y,5,0.0045299530029296875,y,y,0
0.12786719110716432,0.0034728050231933594,1.015827114428022,9.150111890827063,0.016573044475145883,y,4,0.0026450157165527344,y,y,0
0.12712012087910038,0.004701852798461914,0.26158630115471965,32.0,0.0072146801488831075,y,5,0.00410914421081543,n,-,0
0.12663698855338945,0.0035512447357177734,1.7289150702477438,12.040172669103615,0.009376250790322742,y,4,0.002939939498901367,y,y,0
0.12511628700265784,0.004550933837890625,0.699961169371221,39.177712457435426,0.00873277591877895,y,6,0.0038650035858154297,y,y,0
0.12443641246040896,0.003957033157348633,2.008009493546371,9.515436638357308,0.011864666307235282,y,4,0.002880096435546875,y,y,0
0.12269854271356823,0.0054149627685546875,0.49288692089885655,53.52275926573701,0.008102953457989908,y,6,0.0046999454498291016,y,y,0
0.12162896458762254,0.006220102310180664,2.166219741753632,16.0,0.012110246118979805,y,4,0.005229949951171875,n,-,0
0.11893602290109548,0.008799076080322266,1.8554359799835447,22.146271983251726,0.016422687297014165,y,5,0.00751805305480957,y,y,0
0.11465251102565117,0.009781122207641602,0.16841552497844975,87.13881205002019,0.010039326132944719,y,7,0.008732080459594727,y,y,0
0.11092021467642722,0.007022857666015625,3.0516861006353215,26.210506543930705,0.01741187389573609,y,5,0.005932807922363281,y,y,0
0.10441716515059977,0.006014823913574219,4.27161510558229,7.575269986533537,0.03440650615986408,y,3,0.004950046539306641,y,y,0
0.09719006094281266,0.007730007171630859,0.9691441949895209,4.98229254270341,0.052615563563067284,y,3,0.0066606998443603516,y,y,0
0.08400646999338227,0.006082057952880859,0.044118562199856076,32.0,0.030085165146025335,y,5,0.005037069320678711,n,-,0
0.07687600796512477,0.0052950382232666016,2.3857335565940163,8.0,0.04633315553734891,y,3,0.003838062286376953,n,-,0
0.06226246779994222,0.007899999618530273,0.33269179271811994,45.996164136249824,0.023466593205184252,y,6,0.006919145584106445,y,y,0
0.058381314874928265,0.005888938903808594,1.4283045810073973,8.0,0.03175684350279521,y,3,0.003401041030883789,n,-,0
0.04658879207027007,0.007235050201416016,0.842222586442768,32.0,0.03096654726527876,y,5,0.006086111068725586,n,-,0
0.04320046323329013,0.004228115081787109,0.7171065862443379,16.0,0.021405945060816455,y,4,0.0033719539642333984,n,-,0
0.04039805901873774,0.010217905044555664,0.2981777472400341,32.0,0.013949879689600934,y,5,0.007019758224487305,n,-,0
0.03956632898265727,0.008594036102294922,0.27621845011266316,32.0,0.006923012673567672,y,5,0.007483959197998047,n,-,0
0.03704978638852902,0.011558055877685547,0.7533477405256751,165.15522968503421,0.005777443232279264,y,8,0.010275125503540039,y,y,0
0.035901892778860044,0.012514114379882812,0.42401196448059475,162.63565154854604,0.003596524424693648,y,8,0.011133909225463867,y,y,0
0.03322866191425063,0.008862018585205078,4.994100717751923,76.08389389886113,0.008070463563353746,y,7,0.007909774780273438,y,y,1
0.03091500969723059,0.00716710090637207,0.1553119056478433,213.99739589779998,0.0046127401548351635,y,8,0.006459712982177734,y,y,0
0.03016778257949284,0.009372234344482422,1.2076555148817019,53.7868989962976,0.005204425059459359,y,6,0.0077800750732421875,y,y,0
0.02881224792536145,0.013997077941894531,1.6958760761379774,57.981873475617235,0.006931445327987223,y,6,0.01282811164855957,y,y,0
0.028593674117665693,0.00714421272277832,0.02767288587198742,32.0,0.0038947010174898832,y,5,0.0059299468994140625,n,-,0
0.027981987869863067,0.008026123046875,0.9564267695371514,104.44471410822874,0.003626330432565016,y,7,0.006862163543701172,y,y,0
0.027864077121832323,0.006691932678222656,0.13200323101451053,42.483274741399526,0.002330366583954795,y,6,0.0058879852294921875,y,y,0
0.027606787723492614,0.008408784866333008,1.3522208803209015,64.0,0.00271386191632827,y,6,0.00709223747253418,n,-,0
0.027507815741957105,0.008385658264160156,0.20579466975130573,64.0,0.001793431534460417,y,6,0.0061798095703125,n,-,0
0.027315769570980718,0.0071942806243896484,3.045756523202756,40.96376879483206,0.0030724449496819153,y,6,0.0060422420501708984,y,y,0
0.027241366131229267,0.005521059036254883,0.09184752362663733,36.608990639661485,0.0019935099060346202,y,6,0.004797935485839844,y,y,0
0.02713437214049482,0.006850719451904297,1.2932251687005152,41.77077954948982,0.0022695483032463735,y,6,0.006175994873046875,y,y,0
0.02708704119116631,0.005628108978271484,0.1572865183816841,75.16471942228081,0.001121006662550552,y,7,0.004353046417236328,y,y,0
0.02698424367460632,0.00592494010925293,3.8708757003432526,39.438286850248936,0.0022102308261111882,y,6,0.0043489933013916016,y,y,0
0.02684210366165425,0.012127876281738281,0.36270225698181696,128.0,0.0013909321694628358,y,7,0.010743141174316406,n,-,0
0.02675308552674272,0.01058506965637207,3.9939668266725987,20.270556565919318,0.0028164524262663145,y,5,0.00595402717590332,y,y,0
0.026657130600219202,0.006802082061767578,0.3428976382747931,113.78898204380134,0.0012664548421005423,y,7,0.00586700439453125,y,y,0
0.026639222521008088,0.0038750171661376953,0.6130352073940227,22.6836377225741,0.001248086399065391,y,5,0.0032732486724853516,y,y,0
0.026610930206057773,0.003754138946533203,1.0915033477183138,32.0,0.0013180977404029894,y,5,0.0031332969665527344,n,-,0
0.02658537469274808,0.0060198307037353516,0.1893907754568996,109.72620914463266,0.0006816252174691464,y,7,0.0050890445709228516,y,y,0
0.02656450472601385,0.004730224609375,5.011441532178801,17.996775705023893,0.0015205736494108128,y,5,0.0040929317474365234,y,y,0
0.026517702826586234,0.00716090202331543,0.3114449661882383,128.0,0.0008656373032253699,y,7,0.005961179733276367,n,-,0
0.026511710265235112,0.006129264831542969,1.1553838386762185,16.0,0.0009143537406878431,y,4,0.005501985549926758,n,-,0
0.026501696053666157,0.008555889129638672,0.5553801599777766,51.29764681676299,0.0006508481727193227,y,6,0.0073430538177490234,y,y,0
0.02650029518167192,0.004950761795043945,0.15151346399170681,23.94984072726936,0.0003419433359704452,y,5,0.003222942352294922,y,y,0
0.026497143014599607,0.004508018493652344,1.1990958123044768,45.12436181057289,0.0003741760417642619,y,6,0.0038640499114990234,y,y,0
