# - NCG HS+ -
# ╒═══════╤═════════════╤════════╤══════╤═══════════╤═════╤════════╤══════════╤═══════════════╤════════════╕
# │ f     │ Optimizer   │     c1 │   c2 │ restart   │ m   │   Loss │     ‖gk‖ │   Conv. Iter. │   Time (s) │
# ╞═══════╪═════════════╪════════╪══════╪═══════════╪═════╪════════╪══════════╪═══════════════╪════════════╡
# │ Monk1 │ NCG HS+     │ 0.0001 │  0.6 │           │ -   │ 0.0292 │ 2.71e-05 │            91 │       0.75 │
# ╘═══════╧═════════════╧════════╧══════╧═══════════╧═════╧════════╧══════════╧═══════════════╧════════════╛
# ╒════════════════╤════════════╤═══════════════╤═══════════════╕
# │   Ls Max Iter. │   Ls Iter. │   Ls Hit Rate │   Ls Time (s) │
# ╞════════════════╪════════════╪═══════════════╪═══════════════╡
# │            100 │        507 │             1 │          0.56 │
# ╘════════════════╧════════════╧═══════════════╧═══════════════╛
f,time_iter,beta,alpha,norm_g,ls_conv,ls_it,ls_time,zoom_used,zoom_conv,zoom_it
0.25000024628646983,0.006063938140869141,0.0,2.0,0.0006547027893269022,y,1,0.003555774688720703,n,-,0
0.2500000762066212,0.003011941909790039,0.0,2.0,0.00033352792606327025,y,1,0.0016660690307617188,n,-,0
0.24999999689319313,0.004289150238037109,0.0,4.0,0.00018106072168267508,y,2,0.003077983856201172,n,-,0
0.22891413825247928,0.10640096664428711,0.006347213738822233,126716.08963181773,8.389392433251184e-05,y,17,0.08154487609863281,y,y,0
0.2289061796246787,0.06117129325866699,896524.2179600748,0.0025462246503267093,0.0850103842132665,y,0,0.019253253936767578,y,y,6
0.2059168058156023,0.0036008358001708984,0.005975405048112738,4.0,0.0854574943297529,y,2,0.002409219741821289,n,-,0
0.17263445175045106,0.026179075241088867,0.0,16.0,0.05781511271696154,y,4,0.024966001510620117,n,-,0
0.16217707918968213,0.02038407325744629,0.0,32.0,0.020594454762564048,y,5,0.019251108169555664,n,-,0
0.15655771622402678,0.008998870849609375,0.0,32.0,0.015444304413932254,y,5,0.007455110549926758,n,-,0
0.13756176089688882,0.010332107543945312,3.647322663642567,32.0,0.023982492765437135,y,5,0.00845479965209961,n,-,0
0.1353552929331798,0.00943899154663086,0.1130558532499764,32.0,0.008798331295102692,y,5,0.007645845413208008,n,-,0
0.13320768139578065,0.008137226104736328,1.6293425412259797,16.0,0.010442834430288843,y,4,0.0064239501953125,n,-,0
0.13105190406838232,0.006886959075927734,0.4069928820695384,32.0,0.007203544693196194,y,5,0.0053310394287109375,n,-,0
0.12845571829305394,0.010051250457763672,0.9737428024091754,32.0,0.007322730244649166,y,5,0.008685111999511719,n,-,0
0.12476662707931267,0.009215116500854492,1.6691865464616398,32.0,0.009387113311274476,y,5,0.005380868911743164,n,-,0
0.12226347997265666,0.004431009292602539,1.3264478108330195,16.0,0.013046864025920915,y,4,0.003412008285522461,n,-,0
0.11740111983438223,0.005629301071166992,0.2852232716168364,64.0,0.009164322963165047,y,6,0.004745006561279297,n,-,0
0.11229396530959672,0.004826068878173828,1.9805639225755576,32.0,0.013227147875277106,y,5,0.003888845443725586,n,-,0
0.10725746552092849,0.010259389877319336,2.046015316569526,16.0,0.01919081288045857,y,4,0.009434938430786133,n,-,0
0.10271617107115559,0.01647472381591797,1.2580219247586673,8.0,0.026850396981976245,y,3,0.013479232788085938,n,-,0
0.09806222422373852,0.005898952484130859,0.0,16.0,0.021149197427973828,y,4,0.004708290100097656,n,-,0
0.09420122527126275,0.02998805046081543,1.220434131910565,8.0,0.02266396038945365,y,3,0.028534889221191406,n,-,0
0.08848477836184988,0.009461164474487305,0.14300509423771296,32.0,0.013799088177967414,y,5,0.008337974548339844,n,-,0
0.07830008249487208,0.0064470767974853516,0.5713904581255355,64.0,0.012194167907161792,y,6,0.00580906867980957,n,-,0
0.07292234977543548,0.006006956100463867,3.896854036513059,8.0,0.02261222960288715,y,3,0.0047070980072021484,n,-,0
0.0703923378237675,0.003445863723754883,0.07414247736964574,16.0,0.013896758017070195,y,4,0.0026869773864746094,n,-,0
0.06777474821789324,0.004335880279541016,0.23245787328320108,32.0,0.009335295880195455,y,5,0.003659963607788086,n,-,0
0.06376852774380307,0.002875804901123047,2.7576717102775437,16.0,0.013343106799829784,y,4,0.002276897430419922,n,-,0
0.06146156493812678,0.003306865692138672,0.241160209160169,32.0,0.00707638666410109,y,5,0.0027170181274414062,n,-,0
0.0596269888932077,0.005630016326904297,0.8819871949410796,32.0,0.006737776736640197,y,5,0.0048639774322509766,n,-,0
0.05646073860448776,0.003595113754272461,1.9934033981359895,32.0,0.010558416820271782,y,5,0.0029959678649902344,n,-,0
0.05460618850465033,0.0032989978790283203,0.6011383364882116,32.0,0.007562094521102213,y,5,0.0026979446411132812,n,-,0
0.052651379840785634,0.003524303436279297,0.960051004207704,32.0,0.006982773556267871,y,5,0.0027849674224853516,n,-,0
0.040010145969379664,0.008201122283935547,0.9070188121786742,128.0,0.0061448363590823375,y,7,0.007578134536743164,n,-,0
0.03883835671503674,0.006001949310302734,0.6751272073489982,16.0,0.008392578142075289,y,4,0.004999876022338867,n,-,0
0.037180987854759845,0.008240222930908203,0.0,64.0,0.006067802416036152,y,6,0.007195234298706055,n,-,0
0.036533921571752975,0.003565073013305664,0.394327903047047,32.0,0.004887032314591565,y,5,0.0027701854705810547,n,-,0
0.03463104126502763,0.004669189453125,0.6189705787366223,128.0,0.004039709297150823,y,7,0.004074811935424805,n,-,0
0.03367393321823629,0.0066869258880615234,0.968090236494207,64.0,0.0038227375584512797,y,6,0.005814075469970703,n,-,0
0.03269475616654093,0.007025957107543945,0.8665804793493256,64.0,0.0035475810266186376,y,6,0.005979299545288086,n,-,0
0.03150027225808518,0.004914045333862305,0.20579069880690898,256.0,0.0021681612827297637,y,8,0.004304170608520508,n,-,0
0.031127211317222347,0.0036699771881103516,2.3696672011100515,32.0,0.003354762873475852,y,5,0.003047943115234375,n,-,0
0.030795326837974937,0.004628181457519531,0.0903699498687968,128.0,0.0016723144433085982,y,7,0.004011869430541992,n,-,0
0.030474484001680773,0.004588127136230469,0.5820128921006349,128.0,0.001464853829729982,y,7,0.003690004348754883,n,-,0
0.030389200557208753,0.0041408538818359375,0.3382400250128812,64.0,0.0011258106477677256,y,6,0.003554821014404297,n,-,0
0.030053197887332607,0.004262208938598633,1.9000002093315151,128.0,0.0015027348302459834,y,7,0.0036547183990478516,n,-,0
0.02994361993020265,0.00545501708984375,0.5497057025421538,64.0,0.0011753467256854333,y,6,0.004086017608642578,n,-,0
0.029901028714077512,0.00397491455078125,0.184741133622507,64.0,0.0008064182770763737,y,6,0.003360748291015625,n,-,0
0.02979900824042349,0.00426793098449707,2.0398502849118287,64.0,0.0010488733376392983,y,6,0.003628969192504883,n,-,0
0.029728555018956937,0.007045269012451172,0.23997189183617657,128.0,0.0006744596986101045,y,7,0.006406068801879883,n,-,0
0.02963970045210608,0.005730867385864258,1.2516618770138983,128.0,0.0007418525268631734,y,7,0.0042188167572021484,n,-,0
0.029533864816386982,0.0037970542907714844,4.198908977059818,32.0,0.0016037553995460702,y,5,0.003210783004760742,n,-,0
0.029528549448331956,0.0027959346771240234,0.0,16.0,0.0006519660991511016,y,4,0.002218008041381836,n,-,0
0.02950644005477563,0.00469207763671875,0.0,128.0,0.00046933956937794674,y,7,0.0041048526763916016,n,-,0
0.0294822261300663,0.00549006462097168,0.6396303402951546,128.0,0.0004313221599045933,y,7,0.004808902740478516,n,-,0
0.029469515865668552,0.004075050354003906,1.8005959511490992,32.0,0.0005575012943857319,y,5,0.00341796875,n,-,0
0.029437247571339475,0.004388093948364258,0.5087462900706812,128.0,0.0004449880583651357,y,7,0.003751993179321289,n,-,0
0.029351387732860036,0.0052530765533447266,1.2996074966143418,256.0,0.0005017324422138227,y,8,0.004508256912231445,n,-,0
0.02933252607763604,0.0035316944122314453,1.8035581164397587,32.0,0.0006843181752392115,y,5,0.002694845199584961,n,-,0
0.02930672719470447,0.005491018295288086,0.665507821366709,64.0,0.0005480409376642034,y,6,0.004886150360107422,n,-,0
0.029297026401579707,0.0038421154022216797,0.2315378804454139,64.0,0.00035197268326315383,y,6,0.00325775146484375,n,-,0
0.0292913905166725,0.0037698745727539062,0.9328488940867337,32.0,0.0003449870228726416,y,5,0.002850055694580078,n,-,0
0.029271262752806504,0.0050618648529052734,0.4413395624419104,256.0,0.0002543597375499567,y,8,0.004472970962524414,n,-,0
0.02926712842110515,0.0033142566680908203,1.7867700726722018,32.0,0.0003626894642145042,y,5,0.0027239322662353516,n,-,0
0.029254112998172876,0.004969120025634766,0.6806255436228505,128.0,0.0002981736458532215,y,7,0.004382133483886719,n,-,0
0.02923948052778414,0.00442194938659668,0.9002854976521806,128.0,0.00028942728290154467,y,7,0.0038230419158935547,n,-,0
0.029233897296902803,0.0038928985595703125,0.6899998047855757,64.0,0.0002520469941686234,y,6,0.0033049583435058594,n,-,0
0.029224085328148644,0.003991127014160156,1.8910948294747043,64.0,0.0003454879422077482,y,6,0.003404855728149414,n,-,0
0.029219827413931913,0.0051538944244384766,0.48780386322957664,64.0,0.00021681632814053907,y,6,0.004341840744018555,n,-,0
0.029218791277593567,0.006824970245361328,0.38480610575667673,32.0,0.00015161091533216753,y,5,0.005413055419921875,n,-,0
0.02921417900715808,0.008526086807250977,0.5189054388997106,256.0,0.0001220898245657933,y,8,0.0074520111083984375,n,-,0
0.029211972910730202,0.0033097267150878906,3.7358286973110073,32.0,0.00025709173114144663,y,5,0.0027098655700683594,n,-,0
0.02921056386551111,0.0067138671875,0.2883035689584051,64.0,0.00015624999981019152,y,6,0.005918025970458984,n,-,0
0.02920949656461233,0.007219076156616211,0.6740009233520519,64.0,0.00012418486148218,y,6,0.0062787532806396484,n,-,0
0.029207445905825493,0.006134986877441406,1.6307181307890362,64.0,0.0001443809567231969,y,6,0.005117893218994141,n,-,0
0.02920673941195348,0.006712198257446289,0.10420012275466792,128.0,6.91408529636769e-05,y,7,0.005884885787963867,n,-,0
0.029205708103670396,0.006148099899291992,3.2242004182027366,64.0,0.00011036168793806628,y,6,0.0051538944244384766,n,-,0
0.02920465474670337,0.004057884216308594,1.202441707493664,64.0,0.00012516891757903084,y,6,0.0034580230712890625,n,-,0
0.02920402588465786,0.0064239501953125,0.6115455836467021,64.0,9.611945299534813e-05,y,6,0.005782127380371094,n,-,0
0.02920302735510332,0.004935741424560547,1.3806766807790498,64.0,0.00011201024788221937,y,6,0.003996849060058594,n,-,0
0.029202217173175397,0.0038368701934814453,0.6517311675210297,64.0,9.691969597383971e-05,y,6,0.0032210350036621094,n,-,0
0.02920188079147599,0.003731966018676758,0.3977109290229658,64.0,6.806838144538327e-05,y,6,0.003156900405883789,n,-,0
0.029201153435906756,0.0037229061126708984,2.02965215792168,64.0,0.0001023886363310001,y,6,0.0031609535217285156,n,-,0
0.029200994595235702,0.0037031173706054688,0.07800598357919156,64.0,5.547517029033009e-05,y,6,0.003142118453979492,n,-,0
0.02920090540946623,0.003743886947631836,0.27923204316127476,64.0,3.732130592165448e-05,y,6,0.0031359195709228516,n,-,0
0.029200729208317067,0.0036940574645996094,1.741281145341118,64.0,4.399689349903423e-05,y,6,0.003129243850708008,n,-,0
0.02920055067670019,0.004183769226074219,0.5642765384510927,128.0,3.30087497939083e-05,y,7,0.00362396240234375,n,-,0
0.029200357123774282,0.0032432079315185547,3.762440252836178,32.0,7.042729036975126e-05,y,5,0.00267791748046875,n,-,0
0.029200301802581017,0.0038688182830810547,0.0,64.0,3.776466795549922e-05,y,6,0.0033037662506103516,n,-,0
0.029200225912675987,0.0032529830932617188,1.9361522377947993,32.0,4.978123258281454e-05,y,5,0.0026679039001464844,n,-,0
0.029200209202817733,0.0032529830932617188,0.0,32.0,2.7050788130860836e-05,y,5,0.002671957015991211,n,-,0
