# - LBFGS - results
# ╒═══════╤═════════════╤════════╤══════╤═══════════╤═════╤════════╤══════════╤═══════════════╤════════════╕
# │ f     │ Optimizer   │     c1 │   c2 │ restart   │   m │   Loss │     ‖gk‖ │   Conv. Iter. │   Time (s) │
# ╞═══════╪═════════════╪════════╪══════╪═══════════╪═════╪════════╪══════════╪═══════════════╪════════════╡
# │ Monk1 │ L-BFGS      │ 0.0001 │  0.9 │ -         │  30 │  0.027 │ 1.98e-05 │            80 │       0.26 │
# ╘═══════╧═════════════╧════════╧══════╧═══════════╧═════╧════════╧══════════╧═══════════════╧════════════╛
# ╒════════════════╤════════════╤═══════════════╤═══════════════╕
# │   Ls Max Iter. │   Ls Iter. │   Ls Hit Rate │   Ls Time (s) │
# ╞════════════════╪════════════╪═══════════════╪═══════════════╡
# │            100 │         20 │             1 │          0.05 │
# ╘════════════════╧════════════╧═══════════════╧═══════════════╛

f,time_iter,alpha,norm_g,ls_conv,ls_it,ls_time,zoom_used,zoom_conv,zoom_it
0.25000051592210965,0.002090930938720703,1.0,0.0006547027893269022,y,0,0.0005166530609130859,n,-,0
0.24999999652143565,0.003611326217651367,1.0,0.0004932415303400887,y,0,0.0003399848937988281,n,-,0
0.24999977402972812,0.004853010177612305,8.0,8.442159409872375e-05,y,3,0.003687143325805664,n,-,0
0.24979065689934424,0.006883144378662109,21.607127944919185,0.000166571707683553,y,5,0.004943132400512695,y,y,0
0.249787129123355,0.0052759647369384766,0.00023067534680954125,0.03520271249857238,y,0,0.003520965576171875,y,y,9
0.24969794379046875,0.0028297901153564453,4.0,0.03738206168479644,y,2,0.0012669563293457031,n,-,0
0.2493909983355011,0.0017600059509277344,0.15801466347944543,0.04241347934261774,y,0,0.0005419254302978516,y,y,0
0.24893669318920977,0.0015621185302734375,1.0,0.05611140023237132,y,0,0.00030493736267089844,n,-,0
0.2465770671014949,0.0022993087768554688,2.0,0.08153521768551523,y,1,0.0008058547973632812,n,-,0
0.2135489216397254,0.0016529560089111328,1.0,0.07530231779629828,y,0,0.0002808570861816406,n,-,0
0.20248998813304878,0.0016069412231445312,1.0,0.0657151835272408,y,0,0.0002789497375488281,n,-,0
0.17990415645581295,0.0016028881072998047,1.0,0.06045752569075148,y,0,0.0002791881561279297,n,-,0
0.1620310286812193,0.0019707679748535156,1.0,0.03726281866527345,y,0,0.00032591819763183594,n,-,0
0.15124422037004306,0.002160787582397461,1.0,0.030247395842385314,y,0,0.0003609657287597656,n,-,0
0.14020731151029145,0.002607107162475586,0.45216510359928874,0.020763200228284033,y,0,0.0006110668182373047,y,y,0
0.13323338611151017,0.002151012420654297,1.0,0.02175351282800293,y,0,0.0003299713134765625,n,-,0
0.1287826178202696,0.0018610954284667969,1.0,0.01659867160403782,y,0,0.0002837181091308594,n,-,0
0.12722265613323058,0.002312898635864258,1.0,0.012215870313268604,y,0,0.0005381107330322266,n,-,0
0.12447313700275464,0.00251007080078125,1.0,0.007458099337595824,y,0,0.0006380081176757812,n,-,0
0.1221028059856655,0.005331277847290039,0.5457335553588614,0.007485603385264132,y,0,0.0020780563354492188,y,y,0
0.1198191864623695,0.0041120052337646484,1.0,0.006395333307259357,y,0,0.00044608116149902344,n,-,0
0.11643248945298787,0.0038781166076660156,0.3132592737789058,0.00817610229175961,y,0,0.0013413429260253906,y,y,0
0.11406125356220037,0.0028998851776123047,1.0,0.011209788070307657,y,0,0.0005121231079101562,n,-,0
0.11112502180769064,0.003545045852661133,1.0,0.015467069900035425,y,0,0.000514984130859375,n,-,0
0.10579997549751018,0.007963895797729492,1.0,0.010600138714612871,y,0,0.003381013870239258,n,-,0
0.0988426287080025,0.0037708282470703125,1.0,0.022460287382999686,y,0,0.0005853176116943359,n,-,0
0.08764058809895031,0.0038309097290039062,1.0,0.020996228769787403,y,0,0.0005259513854980469,n,-,0
0.07473987627604706,0.0037360191345214844,1.0,0.027264178331350832,y,0,0.0004410743713378906,n,-,0
0.06766262931637172,0.0024268627166748047,1.0,0.02581778952288232,y,0,0.00030994415283203125,n,-,0
0.058007520432237385,0.00257110595703125,1.0,0.03337850865484588,y,0,0.0007500648498535156,n,-,0
0.05143628207790671,0.0035161972045898438,1.0,0.017995618626537157,y,0,0.0005707740783691406,n,-,0
0.04690838739320941,0.005120038986206055,1.0,0.012552413333866579,y,0,0.0003638267517089844,n,-,0
0.04117037598191666,0.0028448104858398438,1.0,0.01117094742778117,y,0,0.0004191398620605469,n,-,0
0.03895319828973684,0.0029990673065185547,1.0,0.010564197701049527,y,0,0.0003559589385986328,n,-,0
0.03694630482845989,0.0023238658905029297,1.0,0.010334768154011272,y,0,0.0002918243408203125,n,-,0
0.03503899994055045,0.002456188201904297,1.0,0.007148380516395348,y,0,0.00034618377685546875,n,-,0
0.033978252515129204,0.003538846969604492,1.0,0.008487702092038644,y,0,0.0005817413330078125,n,-,0
0.033634839850533546,0.002941131591796875,1.0,0.004312399839734872,y,0,0.0002849102020263672,n,-,0
0.03312571466652824,0.0021839141845703125,1.0,0.002782309745107886,y,0,0.00028204917907714844,n,-,0
0.03268008668268549,0.0025091171264648438,1.0,0.0034799468428568427,y,0,0.0002899169921875,n,-,0
0.03205867813489651,0.0024368762969970703,1.0,0.004356402518364084,y,0,0.00039505958557128906,n,-,0
0.03138709145137053,0.003912925720214844,1.0,0.004514427397569334,y,0,0.0005252361297607422,n,-,0
0.030933809700497902,0.0041790008544921875,1.0,0.0040706580180847295,y,0,0.0003199577331542969,n,-,0
0.03067401355577475,0.005330801010131836,1.0,0.0022314776980518138,y,0,0.0008089542388916016,n,-,0
0.030245205187089386,0.006133079528808594,1.0,0.0017540605951308244,y,0,0.0003159046173095703,n,-,0
0.029811968788056083,0.002123117446899414,1.0,0.003378656238824888,y,0,0.00028395652770996094,n,-,0
0.02941726171217814,0.003662109375,1.0,0.0028066791937643954,y,0,0.0004189014434814453,n,-,0
0.02901880242175455,0.002298116683959961,1.0,0.00221776802175128,y,0,0.0002837181091308594,n,-,0
0.028771375478800782,0.0020706653594970703,1.0,0.0023095359312781923,y,0,0.0002830028533935547,n,-,0
0.028500916274916292,0.002077341079711914,1.0,0.003957077272878469,y,0,0.0002880096435546875,n,-,0
0.028377042681781456,0.002196073532104492,1.0,0.0020004945051381204,y,0,0.0002841949462890625,n,-,0
0.028156178337121345,0.0020837783813476562,1.0,0.0014427741101180774,y,0,0.0002810955047607422,n,-,0
0.028058979141842404,0.0020608901977539062,1.0,0.0013632913778700514,y,0,0.0002789497375488281,n,-,0
0.027766842239553807,0.0031490325927734375,1.0,0.003842754478163728,y,0,0.0004112720489501953,n,-,0
0.027583124567703208,0.0028612613677978516,1.0,0.002841924380817386,y,0,0.00028896331787109375,n,-,0
0.027498780415257048,0.00209808349609375,1.0,0.001440887148196728,y,0,0.0002808570861816406,n,-,0
0.02739889680080014,0.0021638870239257812,1.0,0.0013919473831757313,y,0,0.0003409385681152344,n,-,0
0.027285587756127848,0.002680063247680664,1.0,0.0011511411423313907,y,0,0.0007107257843017578,n,-,0
0.027203891204805,0.003202199935913086,1.0,0.0009300325125517108,y,0,0.00028705596923828125,n,-,0
0.027137568218051897,0.0020918846130371094,1.0,0.0008512574373703873,y,0,0.0002791881561279297,n,-,0
0.027095302359406465,0.0020689964294433594,1.0,0.0006130889949654499,y,0,0.0002799034118652344,n,-,0
0.02705905404477251,0.002065896987915039,1.0,0.0005640993852539628,y,0,0.0002770423889160156,n,-,0
0.027036928963570673,0.0020568370819091797,1.0,0.000309239612477786,y,0,0.0002808570861816406,n,-,0
0.027033748040660936,0.0020580291748046875,1.0,0.0002913473843606617,y,0,0.0002779960632324219,n,-,0
0.027015965927456705,0.002065896987915039,1.0,0.0004877596863509532,y,0,0.00028204917907714844,n,-,0
0.027007388154199452,0.0024230480194091797,1.0,0.0002281010022771798,y,0,0.0002849102020263672,n,-,0
0.026999365306821843,0.0020749568939208984,1.0,0.0001796847866384327,y,0,0.0002830028533935547,n,-,0
0.026992586542694853,0.002209901809692383,1.0,0.00017164679826020822,y,0,0.00028514862060546875,n,-,0
0.02698863196903029,0.0022699832916259766,1.0,0.0001983232291381202,y,0,0.0002892017364501953,n,-,0
0.026985848570897433,0.002096891403198242,1.0,0.00019842197288441084,y,0,0.0002799034118652344,n,-,0
0.02698215093680323,0.0020551681518554688,1.0,0.00012789964701814759,y,0,0.00028014183044433594,n,-,0
0.02697973781048173,0.002056121826171875,1.0,0.00011610211127990977,y,0,0.0002799034118652344,n,-,0
0.026978733011360615,0.002337932586669922,0.47689089791478484,0.00010719410536912502,y,0,0.0005481243133544922,y,y,0
0.02697809637321504,0.0020799636840820312,1.0,9.746805954829432e-05,y,0,0.0002818107604980469,n,-,0
0.026977793704211897,0.0020558834075927734,1.0,4.710512255013475e-05,y,0,0.0002789497375488281,n,-,0
0.026977397374161802,0.002565145492553711,1.0,3.677013065837936e-05,y,0,0.0003008842468261719,n,-,0
0.026977137077227827,0.0020580291748046875,1.0,3.263854984284086e-05,y,0,0.0002818107604980469,n,-,0
0.02697693329987969,0.002062082290649414,1.0,7.207963552266786e-05,y,0,0.0002789497375488281,n,-,0
0.026976789969644817,0.0020437240600585938,1.0,3.45222953110894e-05,y,0,0.0002779960632324219,n,-,0
0.026976722582055683,0.0023059844970703125,1.0,1.9820980695076372e-05,y,0,0.00028014183044433594,n,-,0
