#  - NCG FR -
# ╒═══════╤═════════════╤════════╤══════╤═══════════╤═════╤════════╤══════════╤═══════════════╤════════════╕
# │ f     │ Optimizer   │     c1 │   c2 │   restart │ m   │   Loss │     ‖gk‖ │   Conv. Iter. │   Time (s) │
# ╞═══════╪═════════════╪════════╪══════╪═══════════╪═════╪════════╪══════════╪═══════════════╪════════════╡
# │ Monk1 │ NCG FR      │ 0.0001 │  0.3 │         3 │ -   │ 0.0292 │ 2.24e-05 │           125 │       0.87 │
# ╘═══════╧═════════════╧════════╧══════╧═══════════╧═════╧════════╧══════════╧═══════════════╧════════════╛
# ╒════════════════╤════════════╤═══════════════╤═══════════════╕
# │   Ls Max Iter. │   Ls Iter. │   Ls Hit Rate │   Ls Time (s) │
# ╞════════════════╪════════════╪═══════════════╪═══════════════╡
# │            100 │        678 │             1 │          0.68 │
# ╘════════════════╧════════════╧═══════════════╧═══════════════╛

f,time_iter,beta,alpha,norm_g,ls_conv,ls_it,ls_time,zoom_used,zoom_conv,zoom_it
0.2500000250171059,0.0034558773040771484,0.0,4.0,0.0006547027893269022,y,2,0.0014641284942626953,n,-,0
0.24999896199836008,0.013831853866577148,0.016465932207113034,256.0,8.401123183908576e-05,y,8,0.012739896774291992,n,-,0
0.22443245409424167,0.010068893432617188,60.275291237790974,2307.4768567091714,0.0006522393724518138,y,12,0.009429931640625,y,y,1
0.18128037015559562,0.0038928985595703125,0.0,16.0,0.07686336886051659,y,4,0.0032269954681396484,n,-,0
0.16554068584785123,0.004992961883544922,0.6483910109921616,8.0,0.06189248327842517,y,3,0.003435850143432617,n,-,0
0.1510799430566578,0.0076580047607421875,0.07062353218461237,93.26678824161748,0.016447982125312392,y,7,0.0063779354095458984,y,y,0
0.14426090968231217,0.002635955810546875,0.0,8.0,0.04310505047893931,y,3,0.0018649101257324219,n,-,0
0.13867994361442676,0.0041081905364990234,0.10554323245321001,64.0,0.014003717903162727,y,6,0.003489971160888672,n,-,0
0.1350416838194603,0.0038437843322753906,3.3375019471768543,11.480988343366608,0.025583155904492293,y,4,0.003213167190551758,y,y,0
0.13382953493391103,0.00947713851928711,0.0,32.0,0.009542358802813958,y,5,0.008538961410522461,n,-,0
0.13204012628043996,0.0051729679107666016,2.918189895924673,16.0,0.01630093505598961,y,4,0.004394054412841797,n,-,0
0.12538580842038066,0.008205890655517578,0.24691720774466488,180.36377334525338,0.008100059251367532,y,8,0.006996870040893555,y,y,0
0.12357352928282933,0.003101348876953125,0.0,8.0,0.022331630408178985,y,3,0.0023932456970214844,n,-,0
0.12246176616230511,0.0061838626861572266,0.10450076060649077,64.0,0.007219051787430734,y,6,0.004783153533935547,n,-,0
0.11861748072211067,0.0037081241607666016,5.820341453599992,32.0,0.017416239532253037,y,5,0.0030510425567626953,n,-,0
0.11429331029518355,0.003885030746459961,0.0,32.0,0.01458199901906002,y,5,0.0032482147216796875,n,-,0
0.11162358522886939,0.004773855209350586,1.7799755014547358,11.486235278618341,0.01945467934859925,y,4,0.00414586067199707,y,y,0
0.10616069277842716,0.003963947296142578,0.5525183001712723,64.0,0.014460969518317308,y,6,0.003287076950073242,n,-,0
0.10100091642049133,0.002633333206176758,0.0,8.0,0.0321878034786786,y,3,0.0020368099212646484,n,-,0
0.09403372773470586,0.0035331249237060547,0.4253202716967752,32.0,0.02099178561787381,y,5,0.0027713775634765625,n,-,0
0.09291739526994404,0.0029821395874023438,1.1718370684202661,8.0,0.022723906744012503,y,3,0.001961946487426758,n,-,0
