# - NCG PR+ -
# ╒═══════╤═════════════╤════════╤══════╤═══════════╤═════╤════════╤═════════╤═══════════════╤════════════╕
# │ f     │ Optimizer   │     c1 │   c2 │ restart   │ m   │   Loss │    ‖gk‖ │   Conv. Iter. │   Time (s) │
# ╞═══════╪═════════════╪════════╪══════╪═══════════╪═════╪════════╪═════════╪═══════════════╪════════════╡
# │ Monk1 │ NCG PR+     │ 0.0001 │  0.4 │           │ -   │ 0.0284 │ 2.8e-05 │           158 │       0.96 │
# ╘═══════╧═════════════╧════════╧══════╧═══════════╧═════╧════════╧═════════╧═══════════════╧════════════╛
# ╒════════════════╤════════════╤═══════════════╤═══════════════╕
# │   Ls Max Iter. │   Ls Iter. │   Ls Hit Rate │   Ls Time (s) │
# ╞════════════════╪════════════╪═══════════════╪═══════════════╡
# │            100 │        886 │             1 │          0.74 │
# ╘════════════════╧════════════╧═══════════════╧═══════════════╛

f,time_iter,beta,alpha,norm_g,ls_conv,ls_it,ls_time,zoom_used,zoom_conv,zoom_it
0.2500000250171059,0.005881071090698242,0.0,4.0,0.0006547027893269022,y,2,0.00414586067199707,n,-,0
0.2499978464477188,0.01731109619140625,0.005655164677861645,512.0,8.401123183908576e-05,y,9,0.016177892684936523,n,-,0
0.22776645895821773,0.023669958114624023,125.45962049926577,1033.8975222792478,0.0009417325545134369,y,11,0.022296905517578125,y,y,4
0.227758383038635,0.005138874053955078,7848.596291213755,0.0023489779303556358,0.08382248179279321,y,0,0.004172086715698242,y,y,6
0.195673432741695,0.007192850112915039,0.0045417611340897255,8.0,0.08419861522886415,y,3,0.005828857421875,n,-,0
0.18076868502162452,0.007830142974853516,0.24891036307756978,8.0,0.05627022449944533,y,3,0.005194425582885742,n,-,0
0.17416324931270213,0.02332019805908203,0.10938744629372875,16.0,0.025952330830106524,y,4,0.0198361873626709,n,-,0
0.16482065498961226,0.01943492889404297,0.6921008215459021,32.0,0.023144310316706555,y,5,0.017633914947509766,n,-,0
0.1497109964631392,0.005734920501708984,1.9339786708701505,32.0,0.028615197898667098,y,5,0.0050089359283447266,n,-,0
0.1426534855179456,0.012957096099853516,0.11311743680641108,64.0,0.014658590897081875,y,6,0.00978994369506836,n,-,0
0.14093307738810615,0.00953984260559082,2.3069194695009014,8.0,0.022230354090535493,y,3,0.006487131118774414,n,-,0
0.13896880092342487,0.004021167755126953,0.0,32.0,0.009886218315436726,y,5,0.0028307437896728516,n,-,0
