# LBFGS - results
# ╒═══════╤═════════════╤════════╤══════╤═══════════╤═════╤════════╤═════════╤═══════════════╤════════════╕
# │ f     │ Optimizer   │     c1 │   c2 │ restart   │   m │   Loss │    ‖gk‖ │   Conv. Iter. │   Time (s) │
# ╞═══════╪═════════════╪════════╪══════╪═══════════╪═════╪════════╪═════════╪═══════════════╪════════════╡
# │ Monk2 │ L-BFGS      │ 0.0001 │  0.9 │ -         │   3 │ 0.0282 │ 2.8e-05 │           123 │       0.32 │
# ╘═══════╧═════════════╧════════╧══════╧═══════════╧═════╧════════╧═════════╧═══════════════╧════════════╛
# ╒════════════════╤════════════╤═══════════════╤═══════════════╕
# │   Ls Max Iter. │   Ls Iter. │   Ls Hit Rate │   Ls Time (s) │
# ╞════════════════╪════════════╪═══════════════╪═══════════════╡
# │            100 │          1 │             1 │          0.06 │
# ╘════════════════╧════════════╧═══════════════╧═══════════════╛
f,time_iter,alpha,norm_g,ls_conv,ls_it,ls_time,zoom_used,zoom_conv,zoom_it
0.27397766090539666,0.0035247802734375,1.0,0.17294522930411713,y,0,0.0005898475646972656,n,-,0
0.24000473482701895,0.0028929710388183594,1.0,0.1389603305540141,y,0,0.0006239414215087891,n,-,0
0.2357331874203826,0.0017039775848388672,1.0,0.042481655763413,y,0,0.0003199577331542969,n,-,0
0.23558053577950888,0.002218961715698242,1.0,0.0067789562419391484,y,0,0.0006561279296875,n,-,0
0.2354076665854771,0.0036170482635498047,1.0,0.004528103127075926,y,0,0.0009169578552246094,n,-,0
0.23457435982467592,0.008491039276123047,1.0,0.005967465061137607,y,0,0.0035400390625,n,-,0
0.2332012024615182,0.00767827033996582,1.0,0.014641618858361157,y,0,0.001840829849243164,n,-,0
0.23067277134402434,0.004003763198852539,1.0,0.023212090485987276,y,0,0.0005948543548583984,n,-,0
0.22735959696294078,0.0025649070739746094,1.0,0.022784876689906846,y,0,0.0004291534423828125,n,-,0
0.22544346798936163,0.0018329620361328125,1.0,0.024705440445397936,y,0,0.0005152225494384766,n,-,0
0.2214739908492649,0.002118825912475586,1.0,0.015183498203125586,y,0,0.0003209114074707031,n,-,0
0.22009935576048514,0.002995014190673828,1.0,0.02000471814959285,y,0,0.0006158351898193359,n,-,0
0.2128154096372675,0.003081083297729492,0.37020924269751887,0.02218802114724751,y,0,0.0007171630859375,y,y,0
0.20287766787137,0.0017518997192382812,1.0,0.04086620241829586,y,0,0.00043201446533203125,n,-,0
0.1947382734479113,0.004936933517456055,0.527794223393157,0.029892021150717686,y,0,0.0021491050720214844,y,y,0
0.18875500664325445,0.0016632080078125,1.0,0.032308699358597294,y,0,0.0003120899200439453,n,-,0
0.1650691659938162,0.0016160011291503906,1.0,0.03513029588751326,y,0,0.000335693359375,n,-,0
0.14638706562636478,0.0033919811248779297,0.49210603646149803,0.0359680006085562,y,0,0.0014562606811523438,y,y,0
0.1374562249602576,0.0015759468078613281,1.0,0.040976809752165534,y,0,0.000308990478515625,n,-,0
0.12605993286167977,0.001538991928100586,1.0,0.05665834474130429,y,0,0.00030994415283203125,n,-,0
0.11444491888121329,0.0017521381378173828,1.0,0.02930479216933416,y,0,0.0003159046173095703,n,-,0
0.09303523715071552,0.0016503334045410156,1.0,0.02374849543132491,y,0,0.00039386749267578125,n,-,0
0.06833647114042252,0.0025801658630371094,0.30008489360239854,0.02839475174052221,y,0,0.0005958080291748047,y,y,0
0.059965114133302376,0.0019519329071044922,0.4603344417627499,0.03045491253807126,y,0,0.0007069110870361328,y,y,0
0.05561254912445962,0.0016620159149169922,1.0,0.020665254145454885,y,0,0.0003399848937988281,n,-,0
0.05136434185300275,0.0015528202056884766,1.0,0.011479850739016056,y,0,0.00030994415283203125,n,-,0
