# LBFGS - results
# ╒═══════╤═════════════╤════════╤══════╤═══════════╤═════╤════════╤══════════╤═══════════════╤════════════╕
# │ f     │ Optimizer   │     c1 │   c2 │ restart   │   m │   Loss │     ‖gk‖ │   Conv. Iter. │   Time (s) │
# ╞═══════╪═════════════╪════════╪══════╪═══════════╪═════╪════════╪══════════╪═══════════════╪════════════╡
# │ Monk2 │ L-BFGS      │ 0.0001 │  0.9 │ -         │  30 │ 0.0282 │ 2.91e-05 │            74 │        0.6 │
# ╘═══════╧═════════════╧════════╧══════╧═══════════╧═════╧════════╧══════════╧═══════════════╧════════════╛
# ╒════════════════╤════════════╤═══════════════╤═══════════════╕
# │   Ls Max Iter. │   Ls Iter. │   Ls Hit Rate │   Ls Time (s) │
# ╞════════════════╪════════════╪═══════════════╪═══════════════╡
# │            100 │          0 │             1 │           0.1 │
# ╘════════════════╧════════════╧═══════════════╧═══════════════╛

f,time_iter,alpha,norm_g,ls_conv,ls_it,ls_time,zoom_used,zoom_conv,zoom_it
0.27397766090539666,0.002366304397583008,1.0,0.17294522930411713,y,0,0.00033783912658691406,n,-,0
0.24000473482701895,0.0015227794647216797,1.0,0.1389603305540141,y,0,0.0003039836883544922,n,-,0
0.2357331874203826,0.0014872550964355469,1.0,0.042481655763413,y,0,0.00030517578125,n,-,0
0.23558053577950888,0.0015497207641601562,1.0,0.0067789562419391484,y,0,0.0003292560577392578,n,-,0
0.2354077854158779,0.0034432411193847656,1.0,0.004528103127075926,y,0,0.0016651153564453125,n,-,0
0.23457432014044144,0.02264094352722168,1.0,0.005967320732236774,y,0,0.012356996536254883,n,-,0
0.23320936231917103,0.01005411148071289,1.0,0.014631608292139197,y,0,0.003139019012451172,n,-,0
0.2310241675666261,0.003520965576171875,1.0,0.023243232631302423,y,0,0.0006737709045410156,n,-,0
0.2274297914965993,0.005700111389160156,1.0,0.026239389659999345,y,0,0.002670764923095703,n,-,0
0.22503280368467427,0.026094913482666016,1.0,0.019341242563774754,y,0,0.0029039382934570312,n,-,0
0.22208574423010788,0.003820180892944336,1.0,0.015269268677827397,y,0,0.0005900859832763672,n,-,0
0.21806618593571808,0.0063440799713134766,0.18521950631443837,0.01120204781071095,y,0,0.0019478797912597656,y,y,0
0.21493415576065136,0.004415988922119141,0.21870748170427964,0.011727024064822938,y,0,0.0014121532440185547,y,y,0
0.21068314846464842,0.008239984512329102,1.0,0.018338038701732357,y,0,0.004630088806152344,n,-,0
0.20307460583675452,0.004235982894897461,1.0,0.035561383562985736,y,0,0.0007376670837402344,n,-,0
0.19499735297475698,0.003993034362792969,1.0,0.02511613770560162,y,0,0.0005960464477539062,n,-,0
0.19087198143738346,0.009150981903076172,1.0,0.020210751382048062,y,0,0.000720977783203125,n,-,0
0.1695541092361658,0.0036017894744873047,1.0,0.0165180790251806,y,0,0.0007448196411132812,n,-,0
0.16179381031916654,0.011014938354492188,1.0,0.01936194669380272,y,0,0.0008549690246582031,n,-,0
0.1446600315543062,0.004394054412841797,1.0,0.04464316234495535,y,0,0.00033020973205566406,n,-,0
0.13436302164149763,0.007058143615722656,1.0,0.01243349011803523,y,0,0.0003941059112548828,n,-,0
0.12810541125228064,0.004069089889526367,1.0,0.024862756274365495,y,0,0.0005991458892822266,n,-,0
0.11131504614813702,0.010153055191040039,1.0,0.022773722390310232,y,0,0.0005018711090087891,n,-,0
