# - NCG PR+ -
# ╒═══════╤═════════════╤════════╤══════╤═══════════╤═════╤════════╤═════════╤═══════════════╤════════════╕
# │ f     │ Optimizer   │     c1 │   c2 │ restart   │ m   │   Loss │    ‖gk‖ │   Conv. Iter. │   Time (s) │
# ╞═══════╪═════════════╪════════╪══════╪═══════════╪═════╪════════╪═════════╪═══════════════╪════════════╡
# │ Monk2 │ NCG PR+     │ 0.0001 │  0.1 │           │ -   │ 0.0282 │ 2.6e-05 │           138 │       0.91 │
# ╘═══════╧═════════════╧════════╧══════╧═══════════╧═════╧════════╧═════════╧═══════════════╧════════════╛
# ╒════════════════╤════════════╤═══════════════╤═══════════════╕
# │   Ls Max Iter. │   Ls Iter. │   Ls Hit Rate │   Ls Time (s) │
# ╞════════════════╪════════════╪═══════════════╪═══════════════╡
# │            100 │        834 │             1 │          0.73 │
# ╘════════════════╧════════════╧═══════════════╧═══════════════╛

f,time_iter,beta,alpha,norm_g,ls_conv,ls_it,ls_time,zoom_used,zoom_conv,zoom_it
0.23629207171611544,0.0043752193450927734,0.0,4.0,0.1000029007327362,y,2,0.0028238296508789062,n,-,0
0.23610403835445537,0.005154609680175781,0.0,11.333855342148022,0.005783386985511759,y,4,0.004324913024902344,y,y,0
0.23467416081807121,0.007797956466674805,1.344265339039582,64.0,0.006702578776058683,y,6,0.006518125534057617,n,-,0
0.23410203386663617,0.009270906448364258,0.39767754895842483,85.55372517230248,0.0035826670620627875,y,7,0.00793600082397461,y,y,0
0.23034833507613436,0.0048809051513671875,24.014214968637415,16.0,0.01753282182249278,y,4,0.0038759708404541016,n,-,0
0.22780432045212207,0.0026280879974365234,2.725015982719582,3.1681184400088647,0.03858348689293407,y,2,0.0019500255584716797,y,y,0
0.22642764979328728,0.0029659271240234375,0.0,5.353954301593364,0.02240303301712266,y,3,0.0022940635681152344,y,y,0
0.22024055800764586,0.00956416130065918,0.07035830546610593,293.7683110368989,0.006083451978110106,y,9,0.00821828842163086,y,y,0
0.21646068042343927,0.005091190338134766,2.7565361524709955,75.0831937319936,0.010237683184456874,y,7,0.0043239593505859375,y,y,0
0.21386044926860914,0.004854917526245117,4.939981757261217,8.0,0.02428256588302215,y,3,0.0035758018493652344,n,-,0
0.18336736380673718,0.007920980453491211,0.045894987864038825,309.21449349721627,0.012483786273662386,y,9,0.006540060043334961,y,y,0
0.1781638683704908,0.0025670528411865234,8.863290383485683,8.0,0.03727097103979247,y,3,0.0019028186798095703,n,-,0
0.15509043883132972,0.007792234420776367,0.16188066838625575,107.68251833369602,0.021458451432930452,y,7,0.006718158721923828,y,y,0
0.1372019662784639,0.004403829574584961,4.436365153908737,16.0,0.04684051190170616,y,4,0.0033721923828125,n,-,0
0.1288867580057816,0.010380029678344727,0.6851366936699849,20.504107031459476,0.028760847066428244,y,5,0.008983135223388672,y,y,0
0.10264948773403432,0.008480072021484375,0.996284943359295,64.0,0.028756393895024945,y,6,0.006165027618408203,n,-,0
0.07798557417729005,0.014483928680419922,0.8650977062247067,50.536210479213,0.030289307093855786,y,6,0.013447046279907227,y,y,0
0.07407262746497252,0.011439800262451172,0.1581054433176378,21.4291315842542,0.01959014245565511,y,5,0.010748863220214844,y,y,0
0.06766912424969483,0.006657838821411133,1.0780808681304987,32.0,0.020731956181143818,y,5,0.005425930023193359,n,-,0
0.06543358233250501,0.019443035125732422,0.0,104.54277181262492,0.006889093970260953,y,7,0.014653205871582031,y,y,0
0.05939050648037807,0.008177995681762695,2.841253550585676,87.30842160565595,0.011628080363661914,y,7,0.006420135498046875,y,y,2
0.05370944574207592,0.009825706481933594,1.211850547320464,72.29829919112123,0.012012008221514561,y,7,0.008606195449829102,y,y,1
0.05034979540159898,0.0072400569915771484,0.6951468288930681,44.13759985466777,0.011546172287793052,y,6,0.0060079097747802734,y,y,0
0.04698855817635771,0.009433984756469727,0.6101996925981692,71.55340656087938,0.008910232586556028,y,7,0.008399009704589844,y,y,0
0.04306875425244599,0.0076029300689697266,1.000069723183858,90.12946545939808,0.008522402480236418,y,7,0.006555318832397461,y,y,0
0.03946270238496915,0.009581804275512695,1.9512183095607638,39.396724007376804,0.012691071553779265,y,6,0.008906126022338867,y,y,0
0.03776949116456574,0.004352092742919922,0.6422203166568605,27.849075469242493,0.010199705894228035,y,5,0.003567218780517578,y,y,0
0.03403356164117758,0.007133960723876953,0.40185278201176655,165.86880309267724,0.0063861524171858345,y,8,0.006496906280517578,y,y,0
0.03330266999966808,0.0051021575927734375,0.5384516614798576,36.86056706095401,0.006343261829672578,y,6,0.004137992858886719,y,y,0
0.0328887223911603,0.0035469532012939453,0.7178004166406835,32.0,0.0052756527435886096,y,5,0.0029158592224121094,n,-,0
0.03141769935523267,0.00729680061340332,1.5383673620099056,71.91802802077622,0.006547480008962456,y,7,0.006658792495727539,y,y,0
0.031198127626540707,0.0036597251892089844,0.0889789145044971,16.0,0.005087684355108381,y,4,0.002479076385498047,n,-,0
0.030768419845554625,0.005222797393798828,0.22568539282699682,110.7536166321063,0.002753540258148234,y,7,0.004572153091430664,y,y,0
0.03059689975299628,0.0042798519134521484,1.8058832858455358,32.0,0.003403041505179795,y,5,0.0036287307739257812,n,-,0
0.03044717176551565,0.007760047912597656,0.6167663103969218,51.2198535414873,0.0024982437597466005,y,6,0.006613731384277344,y,y,0
0.02998925727100285,0.004831075668334961,0.9245327304779511,128.0,0.002579745362283414,y,7,0.004198789596557617,n,-,0
0.02985765864624563,0.006783962249755859,1.782628408814416,22.724124306538243,0.003325210663519489,y,5,0.0059909820556640625,y,y,0
0.029613388991015222,0.008677959442138672,0.4334754316816829,108.34396862908841,0.002052543575074861,y,7,0.007718086242675781,y,y,0
0.029533023437521323,0.007235050201416016,0.49383978565598347,64.0,0.0016183173022080105,y,6,0.006012916564941406,n,-,0
0.0294366731742379,0.005755901336669922,2.5676583011886964,32.0,0.002566177115725952,y,5,0.0045740604400634766,n,-,0
0.029350171162797395,0.004272937774658203,0.32321053536595157,64.0,0.0016948759698626112,y,6,0.003555774688720703,n,-,0
0.029263519858211295,0.007227897644042969,0.7195748405704664,82.5548582641128,0.0014443103570746117,y,7,0.0060198307037353516,y,y,0
0.0292486374377331,0.004282951354980469,0.5149116792111875,27.354637443324833,0.0010387202668948193,y,5,0.003576993942260742,y,y,0
0.02918598915514977,0.0058689117431640625,1.2232502764511335,95.14209295077819,0.0011431307553643583,y,7,0.00520014762878418,y,y,0
0.029160207130809333,0.0050241947174072266,0.7056966932993464,52.330113036715716,0.000988135304061318,y,6,0.004225015640258789,y,y,0
0.029142304804331002,0.005049943923950195,0.5068094387928531,72.45523880359528,0.0007037134970017758,y,7,0.004384040832519531,y,y,0
0.02913076480368033,0.005194902420043945,2.328291273880927,19.985247991251818,0.0010749050577257633,y,5,0.004364013671875,y,y,0
0.029124338186012955,0.006323814392089844,0.10672894614151354,112.27448152987836,0.00033785812065353834,y,7,0.005195140838623047,y,y,0
0.02912024476641619,0.004215717315673828,1.1055742896763068,64.0,0.0003547302348144438,y,6,0.0035860538482666016,n,-,0
0.029112137504588353,0.007354259490966797,0.5967776916585277,204.6127396195494,0.0002784652203861463,y,8,0.006592988967895508,y,y,0
0.029108478633450226,0.004060029983520508,1.4589567201628775,64.0,0.00033038409525456457,y,6,0.003434896469116211,n,-,0
0.02910212813561631,0.005605936050415039,2.6674327531869566,40.748508917396606,0.0005446045438232191,y,6,0.00497889518737793,y,y,0
0.029091369711577768,0.006363868713378906,1.2279145571070837,64.0,0.0005711327193717305,y,6,0.005450010299682617,n,-,0
0.0290741876721024,0.0060520172119140625,0.16751370941853228,294.08840652231027,0.0003397149850380736,y,9,0.005403995513916016,y,y,0
0.029069025610076637,0.00474095344543457,1.8480054333816667,48.811301764910034,0.00046066877150078623,y,6,0.004118919372558594,y,y,0
0.02905906708372755,0.004640102386474609,2.114396228375724,44.04935165956222,0.0006711536109437607,y,6,0.003957033157348633,y,y,0
0.029028594911426626,0.0073511600494384766,1.4354287497194846,93.57852673225383,0.0008052307493973716,y,7,0.006442070007324219,y,y,0
0.02897169806875973,0.006122112274169922,0.6942812730168026,256.0,0.0006643284673633187,y,8,0.005464076995849609,n,-,0
0.028939999661587255,0.006350040435791016,1.6989792795596095,78.80038387421624,0.0009051624817960354,y,7,0.0052280426025390625,y,y,0
0.028875379280179053,0.004433870315551758,3.4987106770643743,45.36674331934045,0.0017112842124615893,y,6,0.0037848949432373047,y,y,0
0.028809118640871004,0.007319927215576172,1.1992690057808417,35.8677259630256,0.0018791514264385955,y,6,0.006681203842163086,y,y,0
0.028710353093383746,0.006831169128417969,0.16386307456863855,143.69103350307935,0.0011712306862276286,y,8,0.005903005599975586,y,y,0
0.028652886092602074,0.005612850189208984,3.6372538410893798,22.884858553184234,0.0022443054452851523,y,5,0.0047760009765625,y,y,0
