#  - NCG PR+ -
# ╒═══════╤═════════════╤════════╤══════╤═══════════╤═════╤════════╤══════════╤═══════════════╤════════════╕
# │ f     │ Optimizer   │     c1 │   c2 │ restart   │ m   │   Loss │     ‖gk‖ │   Conv. Iter. │   Time (s) │
# ╞═══════╪═════════════╪════════╪══════╪═══════════╪═════╪════════╪══════════╪═══════════════╪════════════╡
# │ Monk3 │ NCG PR+     │ 0.0001 │  0.1 │           │ -   │ 0.0358 │ 9.43e-06 │           235 │       1.25 │
# ╘═══════╧═════════════╧════════╧══════╧═══════════╧═════╧════════╧══════════╧═══════════════╧════════════╛
# ╒════════════════╤════════════╤═══════════════╤═══════════════╕
# │   Ls Max Iter. │   Ls Iter. │   Ls Hit Rate │   Ls Time (s) │
# ╞════════════════╪════════════╪═══════════════╪═══════════════╡
# │            100 │       1249 │             1 │          0.98 │
# ╘════════════════╧════════════╧═══════════════╧═══════════════╛

f,time_iter,beta,alpha,norm_g,ls_conv,ls_it,ls_time,zoom_used,zoom_conv,zoom_it
0.2499340447889213,0.0022840499877929688,0.0,4.0,0.005819564421692255,y,2,0.0013461112976074219,n,-,0
0.2499024886781693,0.006474971771240234,0.006617867187283938,303.57244211722974,0.0004560888767457911,y,9,0.005846977233886719,y,y,0
0.21531802150986418,0.007117033004760742,37.856184646896864,498.6449165375109,0.002806220052822212,y,9,0.006487846374511719,y,y,0
0.21524272768870364,0.0026619434356689453,1495.6508500503392,0.013330711429931981,0.10951215272796815,y,0,0.0020432472229003906,y,y,4
0.12391325826891172,0.003141164779663086,0.019204564018650675,16.0,0.11156292181875646,y,4,0.0025238990783691406,n,-,0
0.10916565479734565,0.003341197967529297,0.3807916102001442,16.0,0.05807907012762889,y,4,0.0027189254760742188,n,-,0
0.10102601261803779,0.00516200065612793,0.0,256.0,0.010980341573152497,y,8,0.004559993743896484,n,-,0
0.09126167526889788,0.006175994873046875,0.27959182662800314,287.3768067657163,0.005817694192738786,y,9,0.0055599212646484375,y,y,1
0.08980205664153909,0.0037429332733154297,4.0789201657777605,18.521283431409383,0.01164202402856514,y,5,0.0031371116638183594,y,y,0
0.07465682507963096,0.00507807731628418,1.712584902918546,74.91505268619457,0.0208746700617329,y,7,0.004470109939575195,y,y,0
